date,line_of_business,claim_amount,status
2025-11-10,Liability,3901.56,closed
2025-06-03,Liability,32434.15,closed
2025-09-25,Motor,2875.4,open
2025-07-11,Motor,44108.79,closed
2025-11-17,Motor,37098.01,open
2025-02-06,Motor,32034.52,open
2025-10-31,Liability,35799.23,closed
2025-12-16,Property,11907.45,open
2025-11-08,Liability,24767.9,open
2025-08-20,Motor,5102.88,closed
2025-08-21,Property,22601.71,open
2025-02-14,Property,24418.64,closed
2025-04-10,Liability,33486.93,open
2025-05-24,Liability,24006.78,open
2025-01-10,Liability,47986.39,open
2025-03-04,Liability,44020.76,open
2025-05-17,Liability,44672.46,open
2025-08-21,Motor,20921.74,closed
2025-07-25,Motor,24966.54,open
2025-04-01,Motor,48293.39,closed
2025-08-20,Motor,46808.01,open
2025-12-09,Property,48558.62,closed
2025-03-26,Liability,37486.72,closed
2025-02-20,Motor,30748.73,open
2025-12-28,Liability,9086.73,open
