,date,line_of_business,claim_amount,status,month,mean,count
0,2025-11-10,Liability,3901.56,closed,,,
1,2025-06-03,Liability,32434.15,closed,,,
2,2025-09-25,Motor,2875.4,open,,,
3,2025-07-11,Motor,44108.79,closed,,,
4,2025-11-17,Motor,37098.01,open,,,
5,2025-02-06,Motor,32034.52,open,,,
6,2025-10-31,Liability,35799.23,closed,,,
7,2025-12-16,Property,11907.45,open,,,
8,2025-11-08,Liability,24767.9,open,,,
9,2025-08-20,Motor,5102.88,closed,,,
10,2025-08-21,Property,22601.71,open,,,
11,2025-02-14,Property,24418.64,closed,,,
12,2025-04-10,Liability,33486.93,open,,,
13,2025-05-24,Liability,24006.78,open,,,
14,2025-01-10,Liability,47986.39,open,,,
15,2025-03-04,Liability,44020.76,open,,,
16,2025-05-17,Liability,44672.46,open,,,
17,2025-08-21,Motor,20921.74,closed,,,
18,2025-07-25,Motor,24966.54,open,,,
19,2025-04-01,Motor,48293.39,closed,,,
20,2025-08-20,Motor,46808.01,open,,,
21,2025-12-09,Property,48558.62,closed,,,
22,2025-03-26,Liability,37486.72,closed,,,
23,2025-02-20,Motor,30748.73,open,,,
24,2025-12-28,Liability,9086.73,open,,,
0,,Liability,,,1.0,47986.39,1.0
1,,Motor,,,2.0,31391.625,2.0
2,,Property,,,2.0,24418.64,1.0
3,,Liability,,,3.0,40753.740000000005,2.0
4,,Liability,,,4.0,33486.93,1.0
5,,Motor,,,4.0,48293.39,1.0
6,,Liability,,,5.0,34339.619999999995,2.0
7,,Liability,,,6.0,32434.15,1.0
8,,Motor,,,7.0,34537.665,2.0
9,,Motor,,,8.0,24277.54333333333,3.0
10,,Property,,,8.0,22601.71,1.0
11,,Motor,,,9.0,2875.4,1.0
12,,Liability,,,10.0,35799.23,1.0
13,,Liability,,,11.0,14334.73,2.0
14,,Motor,,,11.0,37098.01,1.0
15,,Liability,,,12.0,9086.73,1.0
16,,Property,,,12.0,30233.035000000003,2.0
0,,Liability,228027.95,,,,
1,,Motor,174531.21000000002,,,,
2,,Property,34509.16,,,,
