date,category,amount
2024-01-05,Food,45.20
2024-01-10,Transport,22.00
2024-01-15,Rent,800.00
2024-01-18,Food,30.50
2024-01-22,Entertainment,60.00
2024-01-28,Utilities,95.00
2024-02-03,Food,52.10
2024-02-07,Transport,18.50
2024-02-14,Entertainment,40.00
2024-02-15,Rent,800.00
2024-02-20,Food,37.80
2024-02-25,Utilities,88.00
2024-03-02,Food,61.40
2024-03-08,Transport,25.00
2024-03-15,Rent,800.00
2024-03-19,Entertainment,75.00
2024-03-23,Food,44.90
2024-03-28,Utilities,102.00
2024-03-30,Transport,15.00
